entname,pledgenum
fdf8877f5839c880e77bcb9c87bea6d8,2
683dee5d7b88589ca2fa6875149c4831,2
f45bbafbfb0d26583228f7fa307a6df2,4
d9f946f97291227a7e8f5cc187c49956,1
43562416c44bebc3b1603d827130d8e8,2
fa3cdfbd728f6b8992418e53e9141132,1
e216b8d2967c8777a153ad7ab28c305e,2
0ae42c7e6010c75b70e20c69da93860f,2
5b898f9322852578d632a7fe752c8d42,4
b9aa71f76df76f8c707e03a2b98c6502,2
d0bf1f87a8d63caf95df0d24341eed0e,1
5016dd793e4e58e4c6c44114e9294b18,4
b5835645d2986a84de4258344f6f10ed,4
9738f0d07bc18361351272450c20ff48,1
b26124fca792057b7db07ecb984c7f0b,1
bfb21bbcb6d03c5ea3d5c0583a90fd5d,2
b0495b0f83cc056bcad592f8da6bb4dd,2
213bf1e8e1f17612663b2de8dbf19e16,1
b8927c01ad24a95c4fb76cadd029eaee,6
8c4c9619d34b2e7bc318a0d576fbfa39,1
c7e7a659aeb4bbd4d5170d81aa4f646c,2
f59efd65fb36bf0785eb0a51be2300e9,2
cf4443bce25e0d4d4a61ec1aefd79a38,2
cb0fe3a36bf27570ece5b54c5f0aba1b,1
7b0e42f89d322c8269a5bd2639af303a,1
222dbb80028878a0b74ed0960d464dfc,2
b3f071298ba9e5c8944efd6324ab80df,1
60f6c4270d407be42e81f50254cceebd,1
b9243adecbb89ff6003f7d5c9b5f54ac,2
ac6d18a0658617f33e69c0e681c0469e,4
8bb2854dcd51bee2749f5013b2edd16a,5
621d9dd76001ac754991e49a65a7db47,4
6f6bec45eb406ed8fe5215f9a4a88a1e,1
9a734d9b1b60c637b5dd1c40af282aa3,1
add38fad448535a96f576597c78c6a5c,1
fd1c6d090dee6e71ada6806c4c17b48b,5
c02264b76491c624e47dd599577f52dc,1
cb15e66098fb4b8a6294e93a1179b9c0,2
